,d_pad,t_pad,d_us,d_rep1,t_ubm,del_d,h_ball,max_conc,min_conc
0,150.3196571878,17.594014639183,218.4885579376,145.65151210523,7.9392692915191,19.293995819648,154.77628467234,1.02821371,0.93433114
1,177.05263010173,22.34855281578,189.27217183069,98.928538355609,10.941861682154,12.235633352824,162.90517530126,1.03143629,0.951576713
2,165.16489684627,18.236923079276,182.81985679601,64.621468956726,11.109719058768,31.196610859365,143.93687751545,1.05207979,0.934823975
3,159.78915478257,23.169295738268,202.79745062929,54.344873479359,13.706428993035,34.519486690153,149.09209666265,1.03836386,0.927827821
4,172.05532460825,28.539005971374,188.78939706825,156.36515095358,8.2588856534162,31.570211822842,146.81978067898,1.05935503,0.95176478
5,152.69180002882,18.094156783979,206.57641121793,129.75481802422,9.7796976661923,27.189645103084,138.3603958156,1.02856872,0.934280403
6,161.38630019111,21.362069580776,219.91684742854,138.30617233115,7.3467584024503,12.097273560482,149.28696221034,1.0254949,0.947454681
7,171.48645564817,25.874297943296,215.88350873361,114.23808754409,13.597827183767,36.612148702293,136.80868473273,1.0262657,0.931534116
8,179.53369000242,22.377463256359,197.27981854745,80.52065207375,9.1439624646782,16.742880034055,157.07983352703,1.03802575,0.945124646
9,170.63873374467,25.997241468762,217.10910232243,87.297607557646,5.7165661155862,22.343927858964,140.90426265209,1.03583477,0.946887857
10,164.99680771092,22.674662274198,212.49321315705,109.90998946207,14.684730247303,24.060148127877,148.40582318566,1.02962451,0.930832862
11,156.42174391475,27.039442269673,206.93209020713,159.42668055392,8.3977436756242,11.398814649194,153.5347674541,1.0278301,0.953485881
12,155.22093056373,29.877542278446,199.94402010027,50.578990700071,9.0592800451441,25.021692499979,130.8544591803,1.03603817,0.931793365
13,178.28389609703,29.475494523367,204.99370759304,117.03558770648,13.104720560481,38.396295371059,139.97921551917,1.02220455,0.946161897
14,151.71286122546,26.20067940533,180.92631790278,139.23844067518,14.072878584063,13.1999248905,159.37948764668,1.02533927,0.956361798
15,167.54669971004,26.474190824198,208.34743703807,117.85289043651,8.4608009982039,12.781676772086,139.74965992471,1.0220763,0.949942409
16,178.13437768456,20.038085148451,216.6438360626,144.12988271608,5.4682406739212,28.509785450771,155.54010780797,1.02054388,0.951218926
17,166.07904697679,18.818923375976,194.74922175588,67.60295212923,13.354104320898,11.766573724391,131.0765481703,1.06048052,0.935152414
18,179.00747021729,20.471898866513,209.71770087876,111.78212400079,10.043230084087,29.411178360099,161.26943720749,1.03833688,0.935839014
19,154.04643423185,28.006686651662,192.01651906959,131.00308855272,12.889635818303,21.643291237439,151.92746823774,1.02635645,0.952578613
20,162.96631549043,24.274764754705,183.41703274383,72.769870509263,12.621269673499,37.977093927146,158.98105166659,1.0288004,0.946753312
21,157.07581493946,20.623335058988,193.00631622741,97.102801987695,14.322119073016,22.962430720036,163.9535851613,1.03186529,0.936626793
22,172.28271948657,22.183379657243,202.2244368454,136.91610400057,14.436787950301,34.885987512252,159.69000494602,1.02380277,0.948641385
23,172.52432383895,25.002127651656,197.82373873719,82.368243633622,12.934339025155,31.783637983014,130.31051105739,1.03589601,0.941120726
24,176.10535739756,24.472728041246,214.64535822912,75.135069648263,9.6794203873457,30.510002306337,138.59513418764,1.0382461,0.930114431
25,158.45249476533,22.942859664926,182.12905814144,120.44959298619,13.273600440569,24.528435923568,153.17532596195,1.01838045,0.955615621
26,178.72833409775,22.015630304009,212.87357787968,93.229767426545,11.994976899507,37.250751515269,163.25244742676,1.03755973,0.937010144
27,169.73176562809,21.221467981039,196.55948160868,41.30102345097,12.102992735741,21.845032629185,160.67105281852,1.0665391,0.923784594
28,157.76613065041,28.137798152248,193.72232604093,33.062398427834,10.554119220612,20.93248838067,135.21487089907,1.09616003,0.90998832
29,169.30973042195,17.166785561667,202.9731931599,132.19801660368,11.89846058087,21.223999645197,160.80187894643,1.02352348,0.948822932
30,163.41163602888,23.936468290096,204.35483018046,148.6728965066,6.2612313248901,32.073948205195,158.16071722848,1.02485782,0.949498871
31,156.75565535745,18.685020551873,195.20865097521,94.941895713893,10.414122992486,14.827516373913,139.16087646933,1.04162193,0.929316564
32,162.09347326792,17.95703064255,201.00487009963,123.65515738613,14.850360891227,35.355310800135,152.76195832344,1.02375436,0.940882567
33,167.09937640832,16.784376561151,187.63942416978,122.85169465883,12.569025987557,39.978263356616,133.28859017692,1.02912704,0.939731368
34,167.3836949365,19.376778151742,186.11774278452,143.0537934301,14.12426915446,20.300082589895,148.80355528665,1.0209751,0.943106939
35,165.8543773923,23.697028031979,213.74073886516,60.819636026139,8.6462800073268,17.057949689051,132.12529257743,1.04029588,0.930413955
36,177.78957400811,23.007028016362,184.37674163818,48.399431749035,6.9241583776616,25.637249025626,151.09065174182,1.05514559,0.907958104
37,171.79102325465,16.332311046185,190.55875718949,149.7135649592,9.2266613694567,29.768745662698,140.50439322501,1.03348885,0.944894366
38,179.11924789473,26.602526646236,183.94870392762,91.989880442311,7.7470073275709,29.144201312056,146.77117314029,1.02797403,0.948921977
39,173.74689449002,16.97181469999,193.49651032816,77.680450252537,7.0943862881882,25.395784704882,159.88402676599,1.04848841,0.938292695
40,173.15105369456,29.670163491628,195.78678026157,62.512366553802,7.8467800311999,20.120248796374,142.71480067768,1.03574664,0.938996795
41,179.85271999473,23.78166085388,196.28971194343,111.99054264947,13.839175143347,18.601817401156,133.70122084326,1.02257326,0.951434493
42,168.79097345012,18.460176837186,191.17503327777,39.958365255084,7.4301456887193,17.735227403654,135.48382131876,1.06127677,0.902183087
43,150.96489442819,27.772452208409,198.73152828784,45.633709613421,9.3684607725956,28.691588627662,162.87475000943,1.03764178,0.917313365
44,164.52592287838,27.56673151814,188.88518432278,57.998884605201,13.482193725961,10.386269337097,147.48800987169,1.03576051,0.940353088
45,155.53130818736,15.225997475893,199.03314823756,68.517976519857,5.3746589539649,24.977804708794,158.52195015062,1.05464351,0.909589118
46,151.20482494727,18.937213369121,198.02475251825,36.556430148822,6.6693814768403,12.635056416737,142.43885372561,1.06391913,0.896634757
47,159.54783992923,19.51778712597,217.84328831534,140.97313003184,6.7484005947506,16.507223100258,137.54623622056,1.02728734,0.942549612
48,164.30912118,19.191230374964,181.83008333807,36.07341657822,10.161923030373,14.483823461465,147.87719487211,1.08658446,0.918929315
49,154.87316650858,16.93020259945,187.50503110748,66.039913997463,12.203295363767,35.822305437749,132.78539192867,1.05275114,0.919017477
50,176.8961654186,16.479971664718,214.82879089115,76.678166583608,12.362536000576,18.97984621107,134.26850483303,1.08014106,0.899508897
51,162.56031476791,25.555599173992,191.5426819553,73.899965982129,7.683310233111,36.772726307451,160.30688747375,1.03325108,0.949175766
52,157.93985010939,16.021411059233,211.87078041116,115.54278815807,10.697753980627,15.316238212209,149.71234038951,1.04670402,0.909773904
53,160.31740753589,23.519140663466,194.38228833773,56.504887349366,5.502309593825,32.233445097999,147.67134218609,1.06712019,0.929256351
54,154.79614748824,24.103946070114,180.43626445356,121.08438926217,5.0854105666561,10.647161911973,132.96709640126,1.01828164,0.949460473
55,175.97258658149,26.882092199803,203.75412936745,136.23210911114,11.529101931645,36.25015756387,133.99701655376,1.02876145,0.949722961
56,153.81749354554,15.76653532545,218.25993870278,59.697221257343,11.629776400983,30.199569058474,130.56750524428,1.0794869,0.892833983
57,163.66471206828,15.36963817531,208.58989399255,134.09479381063,14.288240602146,33.43727401203,140.28921963434,1.03088561,0.929983123
58,157.47483030882,29.791796643873,215.45313607229,61.855840799755,7.281084800923,33.740475915325,157.35447664195,1.04270064,0.934565266
59,175.04332745588,22.562964752964,189.62053265472,157.98037150579,6.5015053656816,19.771897322598,136.40039547047,1.04342619,0.94969042
60,151.98735570983,16.640331564271,205.56293599409,53.371677727728,8.8202766290557,35.687339791487,151.57785280488,1.04877682,0.904901747
61,171.24976164002,27.613667010246,185.0725816791,152.24773344194,6.1992240128884,20.769985562769,164.33581417485,1.0406081,0.955050083
62,168.43854262427,17.831410630085,185.92134571465,119.01851936281,12.040084200884,13.504778904964,145.13645436189,1.02781728,0.948188056
63,174.76964605363,25.327157006456,200.28396595848,44.343993444978,8.7700349389313,26.285285724984,155.89446205516,1.0412423,0.908501202
64,169.10795023673,20.762496393956,200.70805847515,147.59928974598,12.786007247436,27.07175546408,157.99986675764,1.02407282,0.948352798
65,166.30205476122,15.55054953175,184.44254200841,46.910972553013,10.263737115628,25.905471765361,164.79713572364,1.05960649,0.922282304
66,166.70154522629,21.123600722668,211.32197550762,127.93936824512,11.202144616198,23.233477754338,150.11820451382,1.0218391,0.949986859
67,165.50787659887,26.792812804473,201.60175283727,89.562659080095,11.482748758043,30.099354195881,145.66073842921,1.02504863,0.943616359
68,163.89179817317,21.650057298353,203.27685216741,30.513728857265,9.4081447776795,14.080086851828,146.41692910104,1.06224216,0.885007569
69,175.52687232239,15.114038611063,186.77173075353,37.834412030183,8.0135394942736,35.063969865904,131.46021524067,1.08305581,0.898458825
70,176.54961343946,20.239804813072,209.18600945992,51.052862264236,12.493271400529,11.048023502983,161.94706435274,1.05335563,0.935118197
71,174.27001466074,25.798910680408,192.48755123326,106.63595651905,8.9317356412386,24.167268892071,150.62568743029,1.01658179,0.960674074
72,152.12872726874,19.245501054119,209.32175098741,78.175975659475,6.0744215398341,22.862329317209,155.07242440165,1.04059067,0.914583243
73,174.58808550214,21.823765722922,207.76689815146,55.2002659103,6.4711994767247,15.545922734599,137.86237498455,1.0577791,0.92095664
74,162.81018442457,19.85592656419,218.88484179674,108.67467748699,6.3538247458553,39.51444842297,144.22687940942,1.03483394,0.91838847
75,159.95854909696,21.516880382421,210.44178709463,151.91501952401,13.999189384392,15.841661253968,132.08986716772,1.03302273,0.93939436
76,150.87003709569,27.218016468887,204.50125750203,126.81253696644,5.927908801731,37.357211477163,150.80966932059,1.02554603,0.945817794
77,177.56985588652,17.499629235746,190.09628628292,87.063615580571,9.8870366750717,32.813094445634,136.00032582594,1.06670422,0.925700712
78,173.62056612563,28.806127166119,199.48620866979,42.632267039275,10.389167230042,34.202754114706,137.31075785639,1.06663187,0.933805222
79,153.22716295426,25.46190012896,210.11501508785,98.399587254996,14.756739337632,28.193156210305,156.4040096796,1.02456209,0.933708134
80,170.76256920534,28.367449273083,211.0559190399,71.392752151613,7.5159732183499,30.921822052289,155.97177070242,1.0388065,0.940568111
81,154.38223031298,29.251890533056,194.8045211144,145.82893108551,7.1385070684118,18.244556090306,135.91230772196,1.02404855,0.951387829
82,161.63369319563,23.359819051501,207.5172437013,155.82747802584,11.729004411264,22.079378688966,144.41750641549,1.02898327,0.946117525
83,168.14900028878,19.704626602199,181.34755442619,154.5592794807,8.1835320443997,38.636196961414,152.2379358498,1.063548,0.948488137
84,175.31110102879,18.369291792926,214.15682113223,102.03003290393,13.628078173996,13.632626556593,143.18935434765,1.0611815,0.922823205
85,160.68303766056,24.876079182927,217.3381892271,34.507687719597,10.885544522357,27.441178522104,152.6641757252,1.09192004,0.910096139
86,150.29728631518,20.326663976289,180.07371652401,133.39108678895,11.055266420239,39.194213996745,134.61250034902,1.03364642,0.937426837
87,155.80774498797,15.713100432902,182.5213152846,83.59568321629,5.6675916691246,32.753968437449,141.67213273742,1.04380509,0.924312102
88,158.87640640867,29.084118952758,191.71926538588,126.12985097956,6.8672192700388,17.327986413793,145.03668894898,1.01971428,0.955378278
89,170.09689439021,28.692145248166,187.09682711137,89.935310408606,14.59824899735,16.081218851494,138.80112747267,1.0256247,0.948539717
90,161.02520855819,29.156351252788,185.2332833158,69.680118275252,13.011862464216,19.462214654017,141.97572764807,1.02741017,0.957393585
91,167.91164346313,27.402344245085,216.37361219137,103.88487111607,5.8204810955947,38.966288712392,143.45668744424,1.02573691,0.943387299
92,158.34407184968,25.163942633039,206.29591296623,107.59174936403,10.734544629779,17.853436503574,141.38360829586,1.02324394,0.942020761
93,159.23275056255,26.335845986133,213.31670379824,32.185619865039,8.5152371281966,37.888634062711,161.59991701812,1.06204131,0.880306719
94,156.02343695568,28.346106352726,201.43208742167,81.156929065076,9.5488479966182,27.73684786863,145.76128039173,1.02109288,0.947913234
95,170.39602475867,17.302671572478,212.14272080919,95.484022928601,9.9665573218331,10.2434055715,156.92413852062,1.04369916,0.935674546
96,153.45844064092,20.942814618078,219.38541101243,100.29588872467,11.395604200947,26.628325392508,154.30570622439,1.03068107,0.920679503
97,152.95017629472,24.641168357922,205.98823615681,43.816815175192,14.930168016046,23.691753583734,163.93162093283,1.0501858,0.932844167
98,173.0224377547,24.31600362558,197.09087463304,104.21421405343,5.1547455544456,33.305722905044,162.46777525796,1.02966858,0.949574714
99,161.94721590803,16.17749024042,188.38198926667,84.854512194043,5.2285430152408,14.704528297935,153.90693535794,1.04322075,0.938941079
